"R.br.","Br.indexa","Prisustvo","Zadace","Iparc17.11.","Uviduradove27.11.","IIparc16.01.","Uviduradove25.01.","Usmeni04.02.","Iparc07.02.","IIparc07.02.","Usmeni14.02.","Uviduradove14.02.","UKUPNO","Ocjena","Grupa"
"1.","35-ST","10","0","17.5",NA,"13.6",NA,NA,NA,NA,NA,NA,"41.1 (32.88%)","7","RS1-1"
"2.","36-ST","10","0","16.3",NA,"12.45",NA,NA,NA,NA,NA,NA,"38.75 (31%)","7","RS1-1"
"3.","31-ST","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (0%)",NA,"RS1-1"
"4.","19-ST","10","0","11.7",NA,"12.85",NA,NA,NA,NA,NA,NA,"34.55 (27.64%)","6","RS1-1"
"5.","30-ST","0","0","6.5",NA,NA,NA,NA,NA,NA,NA,NA,"6.5 (5.2%)",NA,"RS1-1"
"6.","23-ST","10","0","2.9",NA,"2.9",NA,NA,"3.6","7.72",NA,NA,"24.22 (19.37%)",NA,"RS1-1"
"7.","26-ST","10","0","5.2",NA,"8.8",NA,NA,"10",NA,NA,NA,"34 (27.2%)","6","RS1-1"
"8.","28-ST","10","0","8.2",NA,"15.45",NA,NA,NA,NA,NA,NA,"33.65 (26.92%)","6","RS1-1"
"9.","20-ST","10","0","2.6",NA,NA,NA,NA,"12.38","12.66",NA,NA,"37.64 (30.11%)","6","RS1-1"
"10.","15-ST","0","0","3",NA,"3",NA,NA,"2.7","1.52",NA,NA,"8.7 (6.96%)",NA,"RS1-1"
"11.","16-ST","10","0","1.9",NA,"10.1",NA,NA,"9.2",NA,NA,NA,"31.2 (24.96%)","6","RS1-1"
"12.","54-ST","10","0","5.6",NA,"7.4",NA,NA,"6.9","10.26",NA,NA,"32.76 (26.2%)",NA,"RS1-1"
"13.","34-ST","10","0","8.4",NA,"14.7",NA,NA,NA,NA,NA,NA,"33.1 (26.48%)",NA,"RS1-1"
"14.","32-ST","10","0","13.1",NA,"8.6",NA,NA,NA,NA,NA,NA,"31.7 (25.36%)","6","RS1-1"
"15.","37-ST","10","0","3.4",NA,"11.4",NA,NA,"10.6",NA,NA,NA,"35.4 (28.32%)","6","RS1-1"
"16.","51-ST","10","0","11.8",NA,"12.1",NA,NA,NA,NA,NA,NA,"33.9 (27.12%)","6","RS1-1"
"17.","8-ST","10","0","4.8",NA,"7.9",NA,NA,"2.2",NA,NA,NA,"24.9 (19.92%)",NA,"RS1-1"
"18.","43-ST","10","0","8.5",NA,"12.1",NA,NA,NA,NA,NA,NA,"30.6 (24.48%)","7","RS1-1"
"19.","11-ST","10","0","4.75",NA,"10.3",NA,NA,"5.5",NA,NA,NA,"30.55 (24.44%)",NA,"RS1-1"
"20.","42-ST","0","0","6.7",NA,NA,NA,NA,NA,NA,NA,NA,"6.7 (5.36%)",NA,"RS1-1"
"1.","49-ST","10","0","5.4",NA,"11.3",NA,NA,"5.8",NA,NA,NA,"32.5 (26%)",NA,"RS1-2"
"2.","38-ST","10","0","6.4",NA,"10",NA,NA,"3.2",NA,NA,NA,"29.6 (23.68%)",NA,"RS1-2"
"3.","4-ST","10","0","5.4",NA,"14.05",NA,NA,"8.8",NA,NA,NA,"38.25 (30.6%)","6","RS1-2"
"4.","25-ST","0","0","9.7",NA,"10.05",NA,NA,"9",NA,NA,NA,"28.75 (23%)","6","RS1-2"
"5.","21-ST","10","0","1.5",NA,"3.6",NA,NA,"2.5","4.8",NA,NA,"18.8 (15.04%)",NA,"RS1-2"
"6.","17-ST","0","0","2.55",NA,"2.2",NA,NA,"1",NA,NA,NA,"5.75 (4.6%)",NA,"RS1-2"
"7.","44-ST","0","0",NA,NA,"4.3",NA,NA,"1.5",NA,NA,NA,"5.8 (4.63%)",NA,"RS1-2"
"8.","9-ST","10","0","2.9",NA,"6.85",NA,NA,"6.7","5.86",NA,NA,"26.45 (21.16%)",NA,"RS1-2"
"9.","24-ST","10","0","8.5",NA,"12.65",NA,NA,NA,NA,NA,NA,"31.15 (24.91%)","6","RS1-2"
"10.","57-ST","10","0","12.25",NA,"15.35",NA,NA,NA,NA,NA,NA,"37.6 (30.08%)","7","RS1-2"
"11.","48-ST","0","0","2.2",NA,"5.3",NA,NA,NA,NA,NA,NA,"7.5 (6%)",NA,"RS1-2"
"12.","61-ST","0","0","7.4",NA,NA,NA,NA,NA,NA,NA,NA,"7.4 (5.92%)",NA,"RS1-2"
"13.","45-ST","0","0","4.85",NA,"10.1",NA,NA,"8.9",NA,NA,NA,"23.85 (19.08%)",NA,"RS1-2"
"1.","41-ST","0","0","0.9",NA,"7.15",NA,NA,"4.7","7.1",NA,NA,"12.75 (10.19%)",NA,"RS1-3"
"2.","56-ST","10","0","6.6",NA,"8.75",NA,NA,NA,"8.2",NA,NA,"25.35 (20.28%)",NA,"RS1-3"
"3.","5-ST","10","0","6.3",NA,"10.35",NA,NA,"7.9",NA,NA,NA,"34.55 (27.64%)",NA,"RS1-3"
"4.","6-ST","10","0","13.4",NA,"12.9",NA,NA,NA,NA,NA,NA,"36.3 (29.04%)","7","RS1-3"
"5.","33-ST","10","0","7.9",NA,"11.2",NA,NA,"13.1",NA,NA,NA,"42.2 (33.75%)","6","RS1-3"
"6.","40-ST","10","0","5.45",NA,"7.2",NA,NA,"9.5",NA,NA,NA,"32.15 (25.72%)",NA,"RS1-3"
"7.","58-ST","10","0","17.9",NA,"15.8",NA,NA,NA,NA,NA,NA,"43.7 (34.96%)","8","RS1-3"
"8.","53-ST","10","0","2.4",NA,"5",NA,NA,"2.8","3.6",NA,NA,"20.2 (16.16%)",NA,"RS1-3"
"9.","10-ST","10","0","6.9",NA,"10.2",NA,NA,"9.4",NA,NA,NA,"36.5 (29.2%)","6","RS1-3"
"10.","52-ST","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (0%)",NA,"RS1-3"
"11.","3-ST","0","0","12.5",NA,NA,NA,NA,NA,"7.5",NA,NA,"20 (16%)","6","RS1-3"
"12.","18-ST","0","0","2.4",NA,NA,NA,NA,NA,NA,NA,NA,"2.4 (1.91%)",NA,"RS1-3"
"13.","7-ST","10","0","4.05",NA,"7.6",NA,NA,NA,"7.06",NA,NA,"21.65 (17.32%)",NA,"RS1-3"
"14.","46-ST","10","0","10.1",NA,"10.9",NA,NA,NA,NA,NA,NA,"31 (24.8%)","6","RS1-3"
"15.","1-ST","0","0","7.5",NA,NA,NA,NA,NA,NA,NA,NA,"7.5 (6%)",NA,"RS1-3"
"16.","13-ST","10","0","3.5",NA,"10.05",NA,NA,"3.2",NA,NA,NA,"26.75 (21.4%)",NA,"RS1-3"
"17.","47-ST","10","0","8.5",NA,"12.6",NA,NA,NA,NA,NA,NA,"31.1 (24.88%)","6","RS1-3"
"1.","29-ST","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 (0%)",NA,"[Bez grupe]"
"2.","2-ST","10","0","3.4",NA,"12.6",NA,NA,"7.4",NA,NA,NA,"33.4 (26.72%)","6","[Bez grupe]"
"3.","59-ST","0","0","1.9",NA,NA,NA,NA,NA,NA,NA,NA,"1.9 (1.52%)",NA,"[Bez grupe]"
"4.","14-ST","10","0","3.1",NA,"7.6",NA,NA,"5.7",NA,NA,NA,"26.4 (21.12%)",NA,"[Bez grupe]"
"5.","39-ST","10","0","1.2",NA,"3.7",NA,NA,"1.5","5.86",NA,NA,"18.56 (14.84%)",NA,"[Bez grupe]"
"6.","60-ST","0","0",NA,NA,"10.15",NA,NA,NA,NA,NA,NA,"10.15 (8.12%)",NA,"[Bez grupe]"
"7.","22-ST","10","0","10.41",NA,"17.1",NA,NA,NA,NA,NA,NA,"37.51 (30%)","6","[Bez grupe]"
"8.","12-ST","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,"0 (0%)",NA,"[Bez grupe]"
"9.","55-ST","10","0","1.3",NA,"0",NA,NA,"6","0.3",NA,NA,"17.6 (14.08%)",NA,"[Bez grupe]"
"10.","50-ST","10","0","3.2",NA,"0",NA,NA,"6","6.62",NA,NA,"25.82 (20.65%)",NA,"[Bez grupe]"
"11.","27-ST","10","0","2.3",NA,"0.6",NA,NA,"2.9","4.36",NA,NA,"19.56 (15.64%)",NA,"[Bez grupe]"
